URL,80
GOBUSTER.COM,X,
a.starbucks.com,X,
autodiscover.starbucks.com,X,
www2.starbucks.com,X,
webmail.starbucks.com,X,
dialin.starbucks.com,X,
docs.starbucks.com,X,
apps.starbucks.com,X,
owa.starbucks.com,X,
outlook.starbucks.com,X,
search.starbucks.com,X,
me.starbucks.com,X,
mysite.starbucks.com,X,
red.starbucks.com,X,
partner.starbucks.com,X,
edge.starbucks.com,X,
mdm.starbucks.com,X,
sentry.starbucks.com,X,
s4.starbucks.com,X,
id.starbucks.com,X,
sim.starbucks.com,X,
phantom.starbucks.com,X,
geo.starbucks.com,X,
mi.starbucks.com,X,
pegasus.starbucks.com,X,
green.starbucks.com,X,
digital.starbucks.com,X,
sat.starbucks.com,X,
wifi.starbucks.com,X,
cert.starbucks.com,X,
vote.starbucks.com,X,
ra.starbucks.com,X,
stars.starbucks.com,X,
ext.starbucks.com,X,
testweb.starbucks.com,X,
sorry.starbucks.com,X,
workspace.starbucks.com,X,
fp.starbucks.com,X,
token.starbucks.com,X,
hybrid.starbucks.com,X,
aw.starbucks.com,X,
communities.starbucks.com,X,
www.alumni.starbucks.com,X,
mena.starbucks.com,X,
crl.starbucks.com,X,
athome.starbucks.com,X,
departments.starbucks.com,X,
philippines.starbucks.com,X,
beta.starbucks.com,X,
rsi.starbucks.com,X,
testshare.starbucks.com,X,
stories.starbucks.com,X,
investor.starbucks.com,X,
news.starbucks.com,X,
odyssey.starbucks.com,X,
mail.starbucks.com,X,
cloudapps.starbucks.com,X,
preview.starbucks.com,X,
groupon.starbucks.com,X,
refer.starbucks.com,X,
verde.starbucks.com,X,
ordering.starbucks.com,X,
blog.starbucks.com,X,
www.test.starbucks.com,X,
devweb.starbucks.com,X,
wwwstage.starbucks.com,X,
logindev.starbucks.com,X,
events.starbucks.com,X,
jobs.starbucks.com,X,
piglet.starbucks.com,X,
alumni.starbucks.com,X,
cascade.starbucks.com,X,
ucp.starbucks.com,X,
docstest.starbucks.com,X,
remote.starbucks.com,X,
cms.starbucks.com,X,
avm.starbucks.com,X,
dev.starbucks.com,X,
selfservice.starbucks.com,X,
relay.starbucks.com,X,
developer.starbucks.com,X,
xss.starbucks.com,X,
portal-test.starbucks.com,X,
atlas.starbucks.com,X,
transportation.starbucks.com,X,
members.starbucks.com,X,
win.starbucks.com,X,
mobile.starbucks.com,X,
careers.starbucks.com,X,
www.starbucks.com,X,
meet.starbucks.com,X,
mexico.starbucks.com,X,
community.starbucks.com,X,
share.starbucks.com,X,
trace.starbucks.com,X,
www.archive.starbucks.com,X,
gr.starbucks.com,X,
sage.starbucks.com,X,
activesync.starbucks.com,X,
origin-www.starbucks.com,X,
retail.starbucks.com,X,
connect.starbucks.com,X,
summer.starbucks.com,X,
es.starbucks.com,X,
teams.starbucks.com,X,
ie.starbucks.com,X,
archive.starbucks.com,X,
prisma.starbucks.com,X,
developers.starbucks.com,X,
one.starbucks.com,X,
ocsp.starbucks.com,X,
creative.starbucks.com,X,
ideas.starbucks.com,X,
spc.starbucks.com,X,
ranger.starbucks.com,X,
ray.starbucks.com,X,
happyhour.starbucks.com,X,
insight.starbucks.com,X,
acme.starbucks.com,X,
intl.starbucks.com,X,
ows.starbucks.com,X,
po1.starbucks.com,X,
www.me.starbucks.com,X,
spectrum.starbucks.com,X,
tea.starbucks.com,X,
www.mexico.starbucks.com,X,
tsc.starbucks.com,X,
connections.starbucks.com,X,
ipm.starbucks.com,X,
www.tea.starbucks.com,X,
dr-www.starbucks.com,X,
chd.starbucks.com,X,
itsm.starbucks.com,X,
www.cert.starbucks.com,X,
apply.starbucks.com,X,
vcse1.starbucks.com,X,
stagewww.starbucks.com,X,
ews.starbucks.com,X,
wwwb.starbucks.com,X,
fb1.starbucks.com,X,
hro.starbucks.com,X,
newstest.starbucks.com,X,
scmdev.starbucks.com,X,
jss.starbucks.com,X,
mbr.starbucks.com,X,
edam.starbucks.com,X,
fptest.starbucks.com,X,
via.starbucks.com,X,
bits.starbucks.com,X,
www.stories.starbucks.com,X,
www.dev.starbucks.com,X,
dpu.starbucks.com,X,
gsd.starbucks.com,X,
scm.starbucks.com,X,
ell.starbucks.com,X,
sdx.starbucks.com,X,
experience.starbucks.com,X,
help.starbucks.com,X,
bomgar.starbucks.com,X,
customerservice.starbucks.com,X,
app.starbucks.com,X,
microsite.starbucks.com,X,
play.starbucks.com,X,
www.central.starbucks.com,X,
quality.starbucks.com,X,
a.ns.e.starbucks.com,X,
f.ns.e.starbucks.com,X,
d.ns.e.starbucks.com,X,
c.ns.e.starbucks.com,X,
e.ns.e.starbucks.com,X,
b.ns.e.starbucks.com,X,
e.starbucks.com,X,
assets.starbucks.com,X,
GITHUB.COM,X,
orderingprofilecert.starbucks.com,X,
verde.starbucks.com,X,
id.starbucks.com,X,
relayprojtest.starbucks.com,X,
microstrategy.starbucks.com,X,
loadglobalsecureui.starbucks.com,X,
ipm-cert.starbucks.com,X,
passport.starbucks.com,X,
prodplmpub.starbucks.com,X,
bomgar.starbucks.com,X,
mena.starbucks.com,X,
bi-cap.starbucks.com,X,
stagesecurehost.openapi.starbucks.com,X,
outlookaddin.starbucks.com,X,
